Arc,Meanshift_MC_value,Meanshift_Lib_value,Meanshift_Final_Status,Meanshift_rel_err,Std_MC_value,Std_Lib_value,Std_Final_Status,Std_rel_err,Skew_MC_value,Skew_Lib_value,Skew_Final_Status,Skew_rel_err
comb_INVX1_A_Z_rise_0_5,117.6548,115.5864,Fail,-0.01758,108.7349,96.4506,Fail,-0.112975,119.265,118.9458,Pass,-0.002676
comb_NAND2X1_A_Z_fall_0_3,47.2291,47.4374,Pass,0.00441,85.8276,85.8811,Pass,0.000623,91.6521,91.4165,Pass,-0.002571
comb_NOR2X1_A_Z_rise_4_1,62.3732,62.4085,Pass,0.000566,41.9487,41.738,Pass,-0.005023,103.7607,103.6208,Pass,-0.001348
comb_AOI22X1_A_Z_fall_3_3,103.8084,103.976,Pass,0.001615,87.1366,86.9005,Pass,-0.00271,84.3304,83.943,Pass,-0.004594
comb_OAI21X2_A_Z_rise_4_6,86.8286,87.0907,Pass,0.003019,65.0041,65.3446,Pass,0.005238,67.4552,67.6497,Pass,0.002883
comb_DFFX1_A_Z_fall_2_6,53.4123,53.1903,Pass,-0.004156,114.9071,114.9581,Pass,0.000444,97.0096,97.3866,Pass,0.003886
comb_MUX2X1_A_Z_rise_1_6,92.2414,92.5948,Pass,0.003831,84.0134,83.9479,Pass,-0.00078,58.0388,57.8505,Pass,-0.003244
comb_XOR2X1_A_Z_fall_6_6,80.2874,80.0918,Pass,-0.002436,81.5254,81.6103,Pass,0.001041,67.5056,67.3648,Pass,-0.002086
comb_BUFX4_A_Z_rise_2_1,95.7732,96.097,Pass,0.003381,108.5344,108.9249,Pass,0.003598,92.0837,91.9611,Pass,-0.001331
comb_AND3X2_A_Z_fall_4_5,110.236,110.4804,Pass,0.002217,55.3036,55.5833,Pass,0.005058,92.7836,92.8101,Pass,0.000286
comb_INVX1_A_Z_rise_3_1,88.7685,88.7973,Pass,0.000324,43.2751,43.2105,Pass,-0.001493,98.0588,97.7254,Pass,-0.0034
comb_NAND2X1_A_Z_fall_4_5,73.7829,73.6452,Pass,-0.001866,106.0016,106.3407,Pass,0.003199,78.116,77.8041,Pass,-0.003993
comb_NOR2X1_A_Z_rise_4_2,115.6838,115.661,Pass,-0.000197,82.6218,82.6141,Pass,-9.3e-05,80.4171,80.2888,Pass,-0.001595
comb_AOI22X1_A_Z_fall_3_2,117.3409,117.5047,Pass,0.001396,117.211,117.4694,Pass,0.002205,69.3432,69.7024,Pass,0.00518
comb_OAI21X2_A_Z_rise_0_2,110.326,109.9285,Pass,-0.003603,51.2654,51.5743,Pass,0.006026,60.604,60.878,Pass,0.004521
comb_DFFX1_A_Z_fall_2_1,87.5205,87.1863,Pass,-0.003819,51.2885,51.1055,Pass,-0.003568,63.241,62.9929,Pass,-0.003923
comb_MUX2X1_A_Z_rise_4_0,115.7336,116.0063,Pass,0.002356,104.6722,104.9795,Pass,0.002936,115.001,115.2641,Pass,0.002288
comb_XOR2X1_A_Z_fall_2_4,68.6631,68.5629,Pass,-0.001459,47.5283,47.1422,Pass,-0.008124,47.2286,47.0614,Pass,-0.00354
comb_BUFX4_A_Z_rise_2_6,49.1821,48.9687,Pass,-0.004339,78.2191,78.2251,Pass,7.7e-05,102.0102,101.8295,Pass,-0.001771
comb_AND3X2_A_Z_fall_5_5,45.5863,45.2072,Pass,-0.008316,51.5192,51.6511,Pass,0.00256,104.5409,104.4416,Pass,-0.00095
comb_INVX1_A_Z_rise_6_0,117.4859,117.2931,Pass,-0.001641,68.3546,68.3548,Pass,3e-06,48.1354,48.0668,Pass,-0.001425
comb_NAND2X1_A_Z_fall_2_4,83.4643,83.5056,Pass,0.000495,72.9276,73.0965,Pass,0.002316,99.1815,99.4715,Pass,0.002924
comb_NOR2X1_A_Z_rise_4_2,100.7564,100.6858,Pass,-0.000701,96.672,96.5966,Pass,-0.00078,99.9842,99.7775,Pass,-0.002067
comb_AOI22X1_A_Z_fall_6_5,67.27,66.9683,Pass,-0.004485,55.6575,55.3215,Pass,-0.006037,92.826,92.6987,Pass,-0.001371
comb_OAI21X2_A_Z_rise_3_3,92.5601,92.2157,Pass,-0.003721,95.5894,95.3496,Pass,-0.002509,47.1489,47.3972,Pass,0.005266
comb_DFFX1_A_Z_fall_1_4,73.4333,73.7278,Pass,0.00401,92.0878,92.3405,Pass,0.002744,117.4636,117.4744,Pass,9.2e-05
comb_MUX2X1_A_Z_rise_2_2,91.1642,91.4878,Pass,0.00355,69.9189,69.6052,Pass,-0.004487,50.291,49.9646,Pass,-0.00649
comb_XOR2X1_A_Z_fall_5_0,45.9059,45.8873,Pass,-0.000405,53.3435,53.0559,Pass,-0.005391,67.6685,67.322,Pass,-0.005121
comb_BUFX4_A_Z_rise_1_0,71.7174,71.4093,Pass,-0.004296,90.8382,90.588,Pass,-0.002754,92.618,92.9105,Pass,0.003158
comb_AND3X2_A_Z_fall_2_0,117.2027,117.4457,Pass,0.002073,69.768,69.7824,Pass,0.000206,58.4448,58.1389,Pass,-0.005234
comb_INVX1_A_Z_rise_4_6,115.3654,115.2329,Pass,-0.001149,40.0406,39.8665,Pass,-0.004348,99.2306,99.2607,Pass,0.000303
comb_NAND2X1_A_Z_fall_3_1,55.6824,55.9787,Pass,0.005321,51.9799,51.7479,Pass,-0.004463,70.1032,70.2325,Pass,0.001844
comb_NOR2X1_A_Z_rise_1_5,117.9134,117.5764,Pass,-0.002858,45.0425,45.3592,Pass,0.007031,105.2487,105.2129,Pass,-0.00034
comb_AOI22X1_A_Z_fall_6_2,86.8618,86.7348,Pass,-0.001462,43.4944,43.2686,Pass,-0.005191,53.473,53.253,Pass,-0.004114
comb_OAI21X2_A_Z_rise_2_6,83.1443,83.1839,Pass,0.000476,90.1874,89.8492,Pass,-0.00375,62.8677,62.763,Pass,-0.001665
comb_DFFX1_A_Z_fall_0_0,116.3855,116.0916,Pass,-0.002525,82.3652,82.5462,Pass,0.002198,83.679,83.3941,Pass,-0.003405
comb_MUX2X1_A_Z_rise_0_1,48.2737,48.6547,Pass,0.007892,49.1291,49.3848,Pass,0.005205,98.8549,98.7491,Pass,-0.00107
comb_XOR2X1_A_Z_fall_5_4,71.0566,71.0181,Pass,-0.000542,103.8731,104.033,Pass,0.001539,115.4793,115.2094,Pass,-0.002337
comb_BUFX4_A_Z_rise_4_0,81.4686,81.679,Pass,0.002583,114.6523,114.6593,Pass,6.1e-05,66.0678,65.9754,Pass,-0.001399
comb_AND3X2_A_Z_fall_4_0,118.4848,118.1357,Pass,-0.002946,112.5921,112.9254,Pass,0.00296,93.7775,93.6398,Pass,-0.001468
comb_INVX1_A_Z_rise_0_0,112.4083,112.5379,Pass,0.001153,93.4628,93.3098,Pass,-0.001637,42.9631,42.5868,Pass,-0.008759
comb_NAND2X1_A_Z_fall_4_2,89.095,89.4163,Pass,0.003606,115.0517,115.0719,Pass,0.000176,84.6434,84.8035,Pass,0.001891
comb_NOR2X1_A_Z_rise_4_6,108.171,108.1213,Pass,-0.000459,56.4511,56.4751,Pass,0.000425,113.2392,113.3666,Pass,0.001125
comb_AOI22X1_A_Z_fall_3_1,74.2549,74.0311,Pass,-0.003014,47.6297,48.0078,Pass,0.007938,47.2777,47.4096,Pass,0.00279
comb_OAI21X2_A_Z_rise_0_4,88.5257,88.3954,Pass,-0.001472,90.7867,90.9551,Pass,0.001855,115.8785,116.1952,Pass,0.002733
comb_DFFX1_A_Z_fall_1_5,65.7596,65.9163,Pass,0.002383,45.879,46.0672,Pass,0.004102,110.4081,110.7818,Pass,0.003385
comb_MUX2X1_A_Z_rise_3_5,90.2529,90.3319,Pass,0.000875,91.7519,91.432,Pass,-0.003487,66.1997,66.0456,Pass,-0.002328
comb_XOR2X1_A_Z_fall_0_1,111.0465,111.2098,Pass,0.001471,80.9866,81.2306,Pass,0.003013,73.4466,73.1635,Pass,-0.003855
comb_BUFX4_A_Z_rise_5_4,103.9316,103.6896,Pass,-0.002328,84.3071,84.4377,Pass,0.001549,50.991,51.1909,Pass,0.00392
comb_AND3X2_A_Z_fall_0_0,79.9317,79.9841,Pass,0.000656,95.9674,96.261,Pass,0.003059,46.0702,46.0095,Pass,-0.001318
comb_INVX1_A_Z_rise_1_2,63.6517,63.7045,Pass,0.00083,78.7561,78.375,Pass,-0.004839,93.6238,93.9344,Pass,0.003318
comb_NAND2X1_A_Z_fall_6_5,101.8325,102.0291,Pass,0.001931,107.2763,107.2932,Pass,0.000158,66.1248,66.0202,Pass,-0.001582
comb_NOR2X1_A_Z_rise_0_4,49.933,49.698,Pass,-0.004706,63.3727,63.341,Pass,-0.0005,117.8042,117.4851,Pass,-0.002709
comb_AOI22X1_A_Z_fall_0_5,49.3161,49.593,Pass,0.005615,48.1125,48.2155,Pass,0.002141,54.1714,54.5692,Pass,0.007343
comb_OAI21X2_A_Z_rise_5_3,48.6477,48.8155,Pass,0.003449,43.6671,43.5138,Pass,-0.003511,48.6259,48.7777,Pass,0.003122
comb_DFFX1_A_Z_fall_1_2,43.2536,43.4651,Pass,0.00489,68.8552,68.9336,Pass,0.001139,44.2969,44.4029,Pass,0.002393
comb_MUX2X1_A_Z_rise_3_1,70.8902,71.0706,Pass,0.002545,82.0317,82.2483,Pass,0.00264,77.0779,76.7402,Pass,-0.004381
comb_XOR2X1_A_Z_fall_1_3,109.5472,109.3325,Pass,-0.00196,60.3547,60.0373,Pass,-0.005259,41.0006,40.9782,Pass,-0.000546
comb_BUFX4_A_Z_rise_6_5,76.3828,76.3777,Pass,-6.7e-05,104.3441,104.5523,Pass,0.001995,94.4415,94.6595,Pass,0.002308
comb_AND3X2_A_Z_fall_5_1,101.2083,101.4067,Pass,0.00196,107.5477,107.5473,Pass,-4e-06,81.5021,81.665,Pass,0.001999
