Arc,Nominal_MC_value,Nominal_Lib_value,Nominal_Final_Status,Nominal_rel_err,Nominal_Base_Pass,Nominal_Waiver1_CI_Enlarged,Early_Sigma_MC_value,Early_Sigma_Lib_value,Early_Sigma_Final_Status,Early_Sigma_rel_err,Early_Sigma_Base_Pass,Early_Sigma_Waiver1_CI_Enlarged,Late_Sigma_MC_value,Late_Sigma_Lib_value,Late_Sigma_Final_Status,Late_Sigma_rel_err,Late_Sigma_Base_Pass,Late_Sigma_Waiver1_CI_Enlarged
comb_INVX1_A_Z_rise_0_5,79.1058,79.0697,Pass,-0.000456,Pass,Pass,43.8128,22.9739,Fail,-0.475635,Fail,Fail,80.4135,69.7038,Fail,-0.133183,Fail,Fail
comb_NAND2X1_A_Z_fall_0_3,73.4973,73.1506,Pass,-0.004717,Pass,Pass,92.0078,94.7036,Fail,0.0293,Fail,Pass,88.8852,108.4444,Fail,0.22005,Fail,Fail
comb_NOR2X1_A_Z_rise_4_1,62.1874,62.459,Pass,0.004367,Pass,Pass,118.6348,118.6106,Pass,-0.000204,Pass,Pass,72.5025,59.1704,Fail,-0.183885,Fail,Fail
comb_AOI22X1_A_Z_fall_3_3,89.7548,89.3672,Pass,-0.004318,Pass,Pass,42.4751,42.3763,Pass,-0.002326,Pass,Pass,65.1578,69.0865,Fail,0.060295,Fail,Pass
comb_OAI21X2_A_Z_rise_4_6,99.9804,100.1011,Pass,0.001207,Pass,Pass,85.3339,85.1093,Pass,-0.002632,Pass,Pass,70.1209,67.7974,Fail,-0.033136,Fail,Pass
comb_DFFX1_A_Z_fall_2_6,112.3732,112.0534,Pass,-0.002846,Pass,Pass,119.0087,119.3013,Pass,0.002459,Pass,Pass,62.4169,66.6678,Fail,0.068105,Fail,Pass
comb_MUX2X1_A_Z_rise_1_6,77.8192,77.9069,Pass,0.001127,Pass,Pass,58.0623,58.0288,Pass,-0.000577,Pass,Pass,52.2554,52.1018,Pass,-0.002939,Pass,Pass
comb_XOR2X1_A_Z_fall_6_6,42.8564,43.0941,Pass,0.005546,Pass,Pass,78.4167,78.4472,Pass,0.000389,Pass,Pass,99.9358,100.2939,Pass,0.003583,Pass,Pass
comb_BUFX4_A_Z_rise_2_1,86.8342,86.7403,Pass,-0.001081,Pass,Pass,84.3562,84.5956,Pass,0.002838,Pass,Pass,93.8026,93.9634,Pass,0.001714,Pass,Pass
comb_AND3X2_A_Z_fall_4_5,53.0209,52.6821,Pass,-0.00639,Pass,Pass,59.0262,58.8697,Pass,-0.002651,Pass,Pass,58.6615,58.5648,Pass,-0.001648,Pass,Pass
comb_INVX1_A_Z_rise_3_1,69.634,69.7918,Pass,0.002266,Pass,Pass,107.3894,107.1227,Pass,-0.002483,Pass,Pass,87.4103,87.3573,Pass,-0.000606,Pass,Pass
comb_NAND2X1_A_Z_fall_4_5,63.1053,63.3114,Pass,0.003266,Pass,Pass,43.2026,43.2901,Pass,0.002025,Pass,Pass,59.46,59.4276,Pass,-0.000545,Pass,Pass
comb_NOR2X1_A_Z_rise_4_2,47.3303,47.3234,Pass,-0.000146,Pass,Pass,62.1844,62.0591,Pass,-0.002015,Pass,Pass,90.2198,90.4984,Pass,0.003088,Pass,Pass
comb_AOI22X1_A_Z_fall_3_2,64.0512,63.7685,Pass,-0.004414,Pass,Pass,117.2959,117.351,Pass,0.00047,Pass,Pass,71.5789,71.831,Pass,0.003522,Pass,Pass
comb_OAI21X2_A_Z_rise_0_2,90.8446,91.1089,Pass,0.002909,Pass,Pass,41.1031,41.1433,Pass,0.000978,Pass,Pass,45.4275,45.1171,Pass,-0.006833,Pass,Pass
comb_DFFX1_A_Z_fall_2_1,95.5351,95.3519,Pass,-0.001918,Pass,Pass,86.2347,86.1131,Pass,-0.00141,Pass,Pass,114.8826,115.1578,Pass,0.002395,Pass,Pass
comb_MUX2X1_A_Z_rise_4_0,43.7668,43.9698,Pass,0.004638,Pass,Pass,105.4437,105.1566,Pass,-0.002723,Pass,Pass,95.2954,95.1323,Pass,-0.001712,Pass,Pass
comb_XOR2X1_A_Z_fall_2_4,49.8834,49.9412,Pass,0.001159,Pass,Pass,113.6095,113.385,Pass,-0.001976,Pass,Pass,54.497,54.4679,Pass,-0.000534,Pass,Pass
comb_BUFX4_A_Z_rise_2_6,41.5354,41.5903,Pass,0.001322,Pass,Pass,79.7153,79.5505,Pass,-0.002067,Pass,Pass,59.9011,59.6766,Pass,-0.003748,Pass,Pass
comb_AND3X2_A_Z_fall_5_5,107.6945,107.9223,Pass,0.002115,Pass,Pass,48.427,48.4232,Pass,-7.8e-05,Pass,Pass,64.0794,64.0394,Pass,-0.000624,Pass,Pass
comb_INVX1_A_Z_rise_6_0,62.9354,62.7144,Pass,-0.003512,Pass,Pass,49.8422,50.0472,Pass,0.004113,Pass,Pass,76.6748,76.3571,Pass,-0.004143,Pass,Pass
comb_NAND2X1_A_Z_fall_2_4,73.8018,73.824,Pass,0.000301,Pass,Pass,111.3101,111.5561,Pass,0.00221,Pass,Pass,52.1477,52.3735,Pass,0.00433,Pass,Pass
comb_NOR2X1_A_Z_rise_4_2,116.3725,116.5436,Pass,0.00147,Pass,Pass,56.7733,57.1266,Pass,0.006223,Pass,Pass,71.4127,71.725,Pass,0.004373,Pass,Pass
comb_AOI22X1_A_Z_fall_6_5,52.5094,52.8341,Pass,0.006184,Pass,Pass,118.679,118.3386,Pass,-0.002868,Pass,Pass,89.4188,89.7957,Pass,0.004215,Pass,Pass
comb_OAI21X2_A_Z_rise_3_3,104.1048,104.4213,Pass,0.00304,Pass,Pass,102.7031,102.4972,Pass,-0.002005,Pass,Pass,42.392,41.998,Pass,-0.009294,Pass,Pass
comb_DFFX1_A_Z_fall_1_4,116.0698,116.0178,Pass,-0.000448,Pass,Pass,109.1224,109.1814,Pass,0.000541,Pass,Pass,113.8878,114.0714,Pass,0.001612,Pass,Pass
comb_MUX2X1_A_Z_rise_2_2,109.3795,109.2435,Pass,-0.001243,Pass,Pass,59.0837,58.8072,Pass,-0.00468,Pass,Pass,109.3945,109.7842,Pass,0.003562,Pass,Pass
comb_XOR2X1_A_Z_fall_5_0,45.8782,45.5628,Pass,-0.006875,Pass,Pass,115.4208,115.6076,Pass,0.001618,Pass,Pass,110.495,110.6633,Pass,0.001523,Pass,Pass
comb_BUFX4_A_Z_rise_1_0,114.521,114.7117,Pass,0.001665,Pass,Pass,84.498,84.889,Pass,0.004627,Pass,Pass,72.2553,72.3251,Pass,0.000966,Pass,Pass
comb_AND3X2_A_Z_fall_2_0,61.7851,61.654,Pass,-0.002122,Pass,Pass,95.951,95.9372,Pass,-0.000144,Pass,Pass,99.604,99.6656,Pass,0.000618,Pass,Pass
comb_INVX1_A_Z_rise_4_6,99.0982,98.9641,Pass,-0.001353,Pass,Pass,72.1436,72.168,Pass,0.000338,Pass,Pass,86.7697,86.7538,Pass,-0.000183,Pass,Pass
comb_NAND2X1_A_Z_fall_3_1,108.3628,108.3661,Pass,3e-05,Pass,Pass,45.0248,45.1522,Pass,0.00283,Pass,Pass,82.1722,82.2613,Pass,0.001084,Pass,Pass
comb_NOR2X1_A_Z_rise_1_5,115.0433,115.0604,Pass,0.000149,Pass,Pass,73.7447,73.736,Pass,-0.000118,Pass,Pass,90.034,90.3161,Pass,0.003133,Pass,Pass
comb_AOI22X1_A_Z_fall_6_2,109.3511,109.2652,Pass,-0.000786,Pass,Pass,113.2592,113.369,Pass,0.000969,Pass,Pass,46.3434,46.0869,Pass,-0.005535,Pass,Pass
comb_OAI21X2_A_Z_rise_2_6,60.9523,60.8695,Pass,-0.001358,Pass,Pass,70.4196,70.178,Pass,-0.003431,Pass,Pass,48.0507,48.2367,Pass,0.003871,Pass,Pass
comb_DFFX1_A_Z_fall_0_0,116.3953,116.584,Pass,0.001621,Pass,Pass,54.4067,54.7598,Pass,0.00649,Pass,Pass,40.4976,40.6275,Pass,0.003208,Pass,Pass
comb_MUX2X1_A_Z_rise_0_1,99.8709,100.1821,Pass,0.003116,Pass,Pass,73.286,73.4221,Pass,0.001857,Pass,Pass,75.1907,75.2587,Pass,0.000904,Pass,Pass
comb_XOR2X1_A_Z_fall_5_4,90.8903,91.1763,Pass,0.003147,Pass,Pass,77.2018,77.568,Pass,0.004743,Pass,Pass,41.0687,40.751,Pass,-0.007736,Pass,Pass
comb_BUFX4_A_Z_rise_4_0,116.9908,117.0226,Pass,0.000272,Pass,Pass,104.2232,103.8273,Pass,-0.003799,Pass,Pass,83.3887,83.4301,Pass,0.000496,Pass,Pass
comb_AND3X2_A_Z_fall_4_0,71.0432,70.8872,Pass,-0.002196,Pass,Pass,51.2529,50.9831,Pass,-0.005264,Pass,Pass,55.1724,54.9194,Pass,-0.004586,Pass,Pass
comb_INVX1_A_Z_rise_0_0,75.6177,75.6548,Pass,0.000491,Pass,Pass,88.0005,88.1538,Pass,0.001742,Pass,Pass,111.9426,111.5948,Pass,-0.003107,Pass,Pass
comb_NAND2X1_A_Z_fall_4_2,61.7096,61.6494,Pass,-0.000976,Pass,Pass,110.0805,110.368,Pass,0.002612,Pass,Pass,40.4488,40.626,Pass,0.004381,Pass,Pass
comb_NOR2X1_A_Z_rise_4_6,58.7531,58.6121,Pass,-0.0024,Pass,Pass,113.2723,113.6265,Pass,0.003127,Pass,Pass,110.0042,110.0121,Pass,7.2e-05,Pass,Pass
comb_AOI22X1_A_Z_fall_3_1,50.6212,50.5091,Pass,-0.002214,Pass,Pass,61.6826,61.4553,Pass,-0.003685,Pass,Pass,73.3167,72.9382,Pass,-0.005163,Pass,Pass
comb_OAI21X2_A_Z_rise_0_4,77.127,77.3967,Pass,0.003497,Pass,Pass,62.95,62.9061,Pass,-0.000697,Pass,Pass,110.382,110.4728,Pass,0.000823,Pass,Pass
comb_DFFX1_A_Z_fall_1_5,83.798,83.4395,Pass,-0.004278,Pass,Pass,55.8457,55.7877,Pass,-0.001039,Pass,Pass,52.3581,52.0602,Pass,-0.00569,Pass,Pass
comb_MUX2X1_A_Z_rise_3_5,100.8186,100.9058,Pass,0.000865,Pass,Pass,42.4355,42.7252,Pass,0.006827,Pass,Pass,77.1554,76.9829,Pass,-0.002236,Pass,Pass
comb_XOR2X1_A_Z_fall_0_1,95.4201,95.2742,Pass,-0.001529,Pass,Pass,119.5356,119.834,Pass,0.002496,Pass,Pass,47.7889,47.9178,Pass,0.002697,Pass,Pass
comb_BUFX4_A_Z_rise_5_4,97.7929,97.7173,Pass,-0.000773,Pass,Pass,96.3131,96.3047,Pass,-8.7e-05,Pass,Pass,76.6548,76.8049,Pass,0.001958,Pass,Pass
comb_AND3X2_A_Z_fall_0_0,84.6928,84.4691,Pass,-0.002641,Pass,Pass,112.518,112.3277,Pass,-0.001691,Pass,Pass,74.7531,74.7963,Pass,0.000578,Pass,Pass
comb_INVX1_A_Z_rise_1_2,49.6716,49.7893,Pass,0.00237,Pass,Pass,51.5128,51.7102,Pass,0.003832,Pass,Pass,51.9039,51.9272,Pass,0.000449,Pass,Pass
comb_NAND2X1_A_Z_fall_6_5,58.6061,58.4123,Pass,-0.003307,Pass,Pass,61.116,61.1274,Pass,0.000187,Pass,Pass,54.6392,54.9613,Pass,0.005895,Pass,Pass
comb_NOR2X1_A_Z_rise_0_4,82.999,82.8611,Pass,-0.001661,Pass,Pass,117.4322,117.4184,Pass,-0.000118,Pass,Pass,45.5231,45.3194,Pass,-0.004475,Pass,Pass
comb_AOI22X1_A_Z_fall_0_5,88.9937,88.9001,Pass,-0.001052,Pass,Pass,93.2405,93.0162,Pass,-0.002406,Pass,Pass,87.8401,87.9736,Pass,0.00152,Pass,Pass
comb_OAI21X2_A_Z_rise_5_3,109.368,109.4204,Pass,0.000479,Pass,Pass,87.2991,87.4767,Pass,0.002034,Pass,Pass,108.8884,108.5946,Pass,-0.002698,Pass,Pass
comb_DFFX1_A_Z_fall_1_2,65.4145,65.4476,Pass,0.000506,Pass,Pass,96.5678,96.6909,Pass,0.001275,Pass,Pass,112.9082,113.2203,Pass,0.002764,Pass,Pass
comb_MUX2X1_A_Z_rise_3_1,71.9274,72.0074,Pass,0.001112,Pass,Pass,82.7497,83.0226,Pass,0.003298,Pass,Pass,42.9489,42.7412,Pass,-0.004836,Pass,Pass
comb_XOR2X1_A_Z_fall_1_3,101.5351,101.1987,Pass,-0.003313,Pass,Pass,53.8428,54.1652,Pass,0.005988,Pass,Pass,116.0318,116.0074,Pass,-0.00021,Pass,Pass
comb_BUFX4_A_Z_rise_6_5,43.3948,43.7887,Pass,0.009077,Pass,Pass,57.0669,57.2902,Pass,0.003913,Pass,Pass,62.3183,61.9615,Pass,-0.005725,Pass,Pass
comb_AND3X2_A_Z_fall_5_1,83.1189,83.0333,Pass,-0.00103,Pass,Pass,108.5512,108.6428,Pass,0.000844,Pass,Pass,74.9154,74.8958,Pass,-0.000262,Pass,Pass
