Arc,Late_Sigma_MC_value,Late_Sigma_Lib_value,Late_Sigma_Final_Status,Late_Sigma_rel_err,Late_Sigma_Base_Pass,Late_Sigma_Waiver1_CI_Enlarged
comb_INVX1_A_Z_rise_3_3,98.5638,90.3688,Fail,-0.083144,Fail,Fail
comb_NAND2X1_A_Z_fall_1_1,94.575,104.3226,Fail,0.103067,Fail,Fail
comb_NOR2X1_A_Z_rise_1_2,82.9686,68.7888,Fail,-0.170906,Fail,Fail
comb_AOI22X1_A_Z_fall_1_3,51.4786,63.4813,Fail,0.233159,Fail,Fail
comb_OAI21X2_A_Z_rise_1_5,52.122,47.8868,Fail,-0.081256,Fail,Pass
comb_DFFX1_A_Z_fall_6_1,115.835,128.3826,Fail,0.108323,Fail,Pass
comb_MUX2X1_A_Z_rise_5_3,98.3286,98.1241,Pass,-0.00208,Pass,Pass
comb_XOR2X1_A_Z_fall_1_6,63.8879,64.1314,Pass,0.003811,Pass,Pass
comb_BUFX4_A_Z_rise_5_5,119.7523,119.7658,Pass,0.000113,Pass,Pass
comb_AND3X2_A_Z_fall_4_0,99.7299,99.563,Pass,-0.001674,Pass,Pass
comb_INVX1_A_Z_rise_2_5,70.3015,69.988,Pass,-0.004459,Pass,Pass
comb_NAND2X1_A_Z_fall_5_4,48.2855,48.1053,Pass,-0.003732,Pass,Pass
comb_NOR2X1_A_Z_rise_1_4,106.7417,106.5482,Pass,-0.001813,Pass,Pass
comb_AOI22X1_A_Z_fall_4_0,116.8068,116.6588,Pass,-0.001267,Pass,Pass
comb_OAI21X2_A_Z_rise_0_1,105.7798,105.4537,Pass,-0.003083,Pass,Pass
comb_DFFX1_A_Z_fall_0_0,109.5201,109.5301,Pass,9.1e-05,Pass,Pass
comb_MUX2X1_A_Z_rise_5_1,90.4602,90.2948,Pass,-0.001828,Pass,Pass
comb_XOR2X1_A_Z_fall_4_6,51.4116,51.7977,Pass,0.00751,Pass,Pass
comb_BUFX4_A_Z_rise_2_0,106.5589,106.5881,Pass,0.000274,Pass,Pass
comb_AND3X2_A_Z_fall_0_5,55.3137,55.691,Pass,0.006821,Pass,Pass
comb_INVX1_A_Z_rise_6_1,96.5078,96.1717,Pass,-0.003483,Pass,Pass
comb_NAND2X1_A_Z_fall_0_3,90.8695,90.7315,Pass,-0.001519,Pass,Pass
comb_NOR2X1_A_Z_rise_2_1,105.9875,106.3286,Pass,0.003218,Pass,Pass
comb_AOI22X1_A_Z_fall_5_5,111.048,110.9517,Pass,-0.000867,Pass,Pass
comb_OAI21X2_A_Z_rise_6_4,54.1725,54.2367,Pass,0.001185,Pass,Pass
comb_DFFX1_A_Z_fall_0_3,117.8366,117.7475,Pass,-0.000756,Pass,Pass
comb_MUX2X1_A_Z_rise_2_6,108.4627,108.8084,Pass,0.003187,Pass,Pass
comb_XOR2X1_A_Z_fall_6_0,60.995,61.301,Pass,0.005017,Pass,Pass
comb_BUFX4_A_Z_rise_0_4,86.0387,86.173,Pass,0.001561,Pass,Pass
comb_AND3X2_A_Z_fall_4_1,66.1052,65.7524,Pass,-0.005337,Pass,Pass
comb_INVX1_A_Z_rise_1_3,106.3748,106.0345,Pass,-0.003199,Pass,Pass
comb_NAND2X1_A_Z_fall_3_1,43.4127,43.3159,Pass,-0.00223,Pass,Pass
comb_NOR2X1_A_Z_rise_0_0,102.3036,102.7015,Pass,0.003889,Pass,Pass
comb_AOI22X1_A_Z_fall_0_6,71.7625,71.8347,Pass,0.001006,Pass,Pass
comb_OAI21X2_A_Z_rise_4_3,108.9355,108.5538,Pass,-0.003504,Pass,Pass
comb_DFFX1_A_Z_fall_5_1,60.4338,60.0645,Pass,-0.006111,Pass,Pass
comb_MUX2X1_A_Z_rise_6_5,70.1181,70.2812,Pass,0.002326,Pass,Pass
comb_XOR2X1_A_Z_fall_1_1,111.4975,111.7005,Pass,0.001821,Pass,Pass
comb_BUFX4_A_Z_rise_4_6,94.1539,94.1008,Pass,-0.000564,Pass,Pass
comb_AND3X2_A_Z_fall_2_0,54.1482,54.3904,Pass,0.004473,Pass,Pass
comb_INVX1_A_Z_rise_1_0,71.7035,71.5759,Pass,-0.00178,Pass,Pass
comb_NAND2X1_A_Z_fall_4_0,46.4862,46.4302,Pass,-0.001205,Pass,Pass
comb_NOR2X1_A_Z_rise_1_3,58.7369,58.8057,Pass,0.001171,Pass,Pass
comb_AOI22X1_A_Z_fall_6_0,58.477,58.1842,Pass,-0.005007,Pass,Pass
comb_OAI21X2_A_Z_rise_5_1,43.6148,43.6115,Pass,-7.6e-05,Pass,Pass
comb_DFFX1_A_Z_fall_1_2,51.5693,51.7868,Pass,0.004218,Pass,Pass
comb_MUX2X1_A_Z_rise_1_6,99.8607,99.6385,Pass,-0.002225,Pass,Pass
comb_XOR2X1_A_Z_fall_1_6,81.138,81.2398,Pass,0.001255,Pass,Pass
comb_BUFX4_A_Z_rise_0_3,70.2872,70.0137,Pass,-0.003891,Pass,Pass
comb_AND3X2_A_Z_fall_2_3,55.2091,55.2896,Pass,0.001458,Pass,Pass
