Arc,Meanshift_MC_value,Meanshift_Lib_value,Meanshift_Final_Status,Meanshift_rel_err,Std_MC_value,Std_Lib_value,Std_Final_Status,Std_rel_err,Skew_MC_value,Skew_Lib_value,Skew_Final_Status,Skew_rel_err
comb_INVX1_A_Z_rise_1_6,93.6287,93.8294,Pass,0.002144,99.3999,99.4929,Pass,0.000936,82.6586,82.4338,Pass,-0.00272
comb_NAND2X1_A_Z_fall_0_4,91.3174,91.1091,Pass,-0.002281,113.591,113.3226,Pass,-0.002363,57.5013,57.4111,Pass,-0.001569
comb_NOR2X1_A_Z_rise_1_6,117.2167,116.9837,Pass,-0.001988,42.5069,42.8916,Pass,0.00905,51.2201,51.4894,Pass,0.005258
comb_AOI22X1_A_Z_fall_4_6,65.8134,65.5324,Pass,-0.00427,50.6026,50.8064,Pass,0.004027,76.4693,76.541,Pass,0.000938
comb_OAI21X2_A_Z_rise_2_0,115.3356,115.434,Pass,0.000853,74.2235,73.8356,Pass,-0.005226,92.9244,93.1066,Pass,0.001961
comb_DFFX1_A_Z_fall_2_6,110.0553,109.8098,Pass,-0.002231,110.7371,110.7776,Pass,0.000366,110.7653,111.0273,Pass,0.002365
comb_MUX2X1_A_Z_rise_1_2,65.0109,65.4068,Pass,0.00609,71.6635,72.0399,Pass,0.005252,118.7186,118.5905,Pass,-0.001079
comb_XOR2X1_A_Z_fall_1_1,77.0207,76.8792,Pass,-0.001837,70.2539,70.0753,Pass,-0.002542,104.2413,104.3007,Pass,0.00057
comb_BUFX4_A_Z_rise_3_1,95.2774,95.6407,Pass,0.003813,82.1664,81.8509,Pass,-0.00384,90.7564,90.5246,Pass,-0.002554
comb_AND3X2_A_Z_fall_1_2,67.5644,67.8692,Pass,0.004511,58.2139,58.2683,Pass,0.000934,61.1534,61.5207,Pass,0.006006
comb_INVX1_A_Z_rise_0_5,58.21,58.3564,Pass,0.002515,67.2409,66.9698,Pass,-0.004032,95.6852,95.3466,Pass,-0.003539
comb_NAND2X1_A_Z_fall_2_2,115.9385,116.2447,Pass,0.002641,68.0472,67.9313,Pass,-0.001703,43.2825,43.0728,Pass,-0.004845
