Arc,Nominal_MC_value,Nominal_Lib_value,Nominal_Final_Status,Nominal_rel_err,Nominal_Base_Pass,Nominal_Waiver1_CI_Enlarged,Early_Sigma_MC_value,Early_Sigma_Lib_value,Early_Sigma_Final_Status,Early_Sigma_rel_err,Early_Sigma_Base_Pass,Early_Sigma_Waiver1_CI_Enlarged,Late_Sigma_MC_value,Late_Sigma_Lib_value,Late_Sigma_Final_Status,Late_Sigma_rel_err,Late_Sigma_Base_Pass,Late_Sigma_Waiver1_CI_Enlarged
comb_INVX1_A_Z_rise_1_6,111.935,112.2619,Pass,0.00292,Pass,Pass,106.802,101.9313,Fail,-0.045605,Fail,Pass,64.1204,46.8455,Fail,-0.269413,Fail,Fail
comb_NAND2X1_A_Z_fall_0_4,46.5752,46.3375,Pass,-0.005104,Pass,Pass,85.8312,86.1174,Pass,0.003334,Pass,Pass,116.9499,116.6221,Pass,-0.002803,Pass,Pass
comb_NOR2X1_A_Z_rise_1_6,105.0448,104.8522,Pass,-0.001834,Pass,Pass,45.0134,45.0565,Pass,0.000957,Pass,Pass,86.1955,85.8662,Pass,-0.00382,Pass,Pass
comb_AOI22X1_A_Z_fall_4_6,106.9091,106.5387,Pass,-0.003465,Pass,Pass,78.7948,78.7904,Pass,-5.6e-05,Pass,Pass,116.2186,115.9687,Pass,-0.00215,Pass,Pass
comb_OAI21X2_A_Z_rise_2_0,92.3288,92.3841,Pass,0.000599,Pass,Pass,63.18,63.2728,Pass,0.001469,Pass,Pass,97.8444,98.0947,Pass,0.002558,Pass,Pass
comb_DFFX1_A_Z_fall_2_6,57.189,57.374,Pass,0.003235,Pass,Pass,75.4025,75.4899,Pass,0.001159,Pass,Pass,40.9045,41.2484,Pass,0.008407,Pass,Pass
comb_MUX2X1_A_Z_rise_1_2,114.2988,114.3423,Pass,0.000381,Pass,Pass,103.6462,103.7364,Pass,0.00087,Pass,Pass,83.3919,83.0641,Pass,-0.003931,Pass,Pass
comb_XOR2X1_A_Z_fall_1_1,103.9587,104.2314,Pass,0.002623,Pass,Pass,71.3554,71.3176,Pass,-0.00053,Pass,Pass,73.4212,73.1089,Pass,-0.004254,Pass,Pass
comb_BUFX4_A_Z_rise_3_1,40.9446,41.2739,Pass,0.008043,Pass,Pass,58.6084,58.7804,Pass,0.002935,Pass,Pass,112.9086,113.2091,Pass,0.002661,Pass,Pass
comb_AND3X2_A_Z_fall_1_2,104.0701,103.6849,Pass,-0.003701,Pass,Pass,76.3293,76.682,Pass,0.004621,Pass,Pass,83.0255,83.2766,Pass,0.003024,Pass,Pass
comb_INVX1_A_Z_rise_0_5,72.4762,72.7201,Pass,0.003365,Pass,Pass,48.2541,48.2886,Pass,0.000715,Pass,Pass,58.4201,58.7699,Pass,0.005988,Pass,Pass
comb_NAND2X1_A_Z_fall_2_2,104.3769,104.6519,Pass,0.002635,Pass,Pass,41.2488,41.4932,Pass,0.005925,Pass,Pass,79.8463,79.4868,Pass,-0.004502,Pass,Pass
comb_NOR2X1_A_Z_rise_1_4,51.4048,51.5266,Pass,0.002369,Pass,Pass,41.7162,41.4716,Pass,-0.005863,Pass,Pass,69.588,69.5171,Pass,-0.001019,Pass,Pass
comb_AOI22X1_A_Z_fall_6_1,78.8041,79.1677,Pass,0.004614,Pass,Pass,111.9748,112.1083,Pass,0.001192,Pass,Pass,81.1779,81.4735,Pass,0.003641,Pass,Pass
comb_OAI21X2_A_Z_rise_3_2,108.0092,108.2534,Pass,0.002261,Pass,Pass,51.9984,52.1735,Pass,0.003367,Pass,Pass,83.9261,83.9844,Pass,0.000695,Pass,Pass
comb_DFFX1_A_Z_fall_4_0,63.4328,63.532,Pass,0.001564,Pass,Pass,64.2022,64.2727,Pass,0.001098,Pass,Pass,94.3909,94.2907,Pass,-0.001062,Pass,Pass
comb_MUX2X1_A_Z_rise_5_5,49.5821,49.8673,Pass,0.005752,Pass,Pass,115.374,114.9876,Pass,-0.003349,Pass,Pass,86.8375,86.9165,Pass,0.00091,Pass,Pass
comb_XOR2X1_A_Z_fall_3_5,83.4107,83.6826,Pass,0.00326,Pass,Pass,76.6033,76.873,Pass,0.003521,Pass,Pass,43.9722,44.0365,Pass,0.001462,Pass,Pass
comb_BUFX4_A_Z_rise_6_3,48.0132,48.3152,Pass,0.00629,Pass,Pass,103.3784,103.467,Pass,0.000857,Pass,Pass,68.2267,68.3744,Pass,0.002165,Pass,Pass
comb_AND3X2_A_Z_fall_2_0,58.5745,58.7093,Pass,0.002301,Pass,Pass,48.0648,47.8019,Pass,-0.00547,Pass,Pass,119.7398,119.6417,Pass,-0.000819,Pass,Pass
comb_INVX1_A_Z_rise_3_2,111.6571,111.5082,Pass,-0.001334,Pass,Pass,61.8129,61.6411,Pass,-0.002779,Pass,Pass,110.2889,110.5571,Pass,0.002432,Pass,Pass
comb_NAND2X1_A_Z_fall_0_0,118.4594,118.6853,Pass,0.001907,Pass,Pass,101.4959,101.8649,Pass,0.003636,Pass,Pass,89.6529,89.4958,Pass,-0.001752,Pass,Pass
comb_NOR2X1_A_Z_rise_4_0,74.062,74.373,Pass,0.004199,Pass,Pass,90.0856,90.1537,Pass,0.000756,Pass,Pass,48.6273,48.663,Pass,0.000734,Pass,Pass
comb_AOI22X1_A_Z_fall_3_3,96.3456,95.9704,Pass,-0.003894,Pass,Pass,85.2519,85.421,Pass,0.001984,Pass,Pass,99.7093,99.907,Pass,0.001983,Pass,Pass
comb_OAI21X2_A_Z_rise_5_3,82.3287,82.046,Pass,-0.003434,Pass,Pass,100.1143,100.0047,Pass,-0.001095,Pass,Pass,68.3972,68.5579,Pass,0.00235,Pass,Pass
comb_DFFX1_A_Z_fall_4_6,70.9916,71.0417,Pass,0.000706,Pass,Pass,100.9135,100.97,Pass,0.00056,Pass,Pass,91.6487,91.9044,Pass,0.00279,Pass,Pass
comb_MUX2X1_A_Z_rise_1_5,111.9531,112.1124,Pass,0.001423,Pass,Pass,78.3886,78.2608,Pass,-0.00163,Pass,Pass,118.4456,118.5016,Pass,0.000473,Pass,Pass
comb_XOR2X1_A_Z_fall_1_6,91.0082,90.8421,Pass,-0.001825,Pass,Pass,40.6633,40.3789,Pass,-0.006994,Pass,Pass,66.8915,67.067,Pass,0.002624,Pass,Pass
comb_BUFX4_A_Z_rise_5_3,86.3991,86.6098,Pass,0.002439,Pass,Pass,58.9434,58.6646,Pass,-0.00473,Pass,Pass,58.6742,58.8042,Pass,0.002216,Pass,Pass
