Arc,Meanshift_MC_value,Meanshift_Lib_value,Meanshift_Final_Status,Meanshift_rel_err,Std_MC_value,Std_Lib_value,Std_Final_Status,Std_rel_err,Skew_MC_value,Skew_Lib_value,Skew_Final_Status,Skew_rel_err
comb_INVX1_A_Z_rise_1_2,78.3015,78.69,Pass,0.004962,79.7968,79.6891,Pass,-0.00135,51.294,50.9236,Pass,-0.007221
comb_NAND2X1_A_Z_fall_3_2,112.2835,111.9557,Pass,-0.002919,53.7015,53.9798,Pass,0.005182,92.6107,92.9593,Pass,0.003764
comb_NOR2X1_A_Z_rise_4_4,58.3655,58.6832,Pass,0.005443,61.6629,61.8045,Pass,0.002296,95.7079,95.4921,Pass,-0.002255
comb_AOI22X1_A_Z_fall_0_4,96.0202,95.9041,Pass,-0.001209,100.1175,100.4262,Pass,0.003083,68.6879,68.8168,Pass,0.001877
comb_OAI21X2_A_Z_rise_2_3,74.1628,74.4846,Pass,0.004339,42.916,42.5358,Pass,-0.008859,107.9746,108.3735,Pass,0.003694
comb_DFFX1_A_Z_fall_2_6,59.7033,59.8098,Pass,0.001784,42.6212,42.2274,Pass,-0.00924,78.3309,78.4436,Pass,0.001439
comb_MUX2X1_A_Z_rise_0_1,101.7068,102.0569,Pass,0.003442,56.889,57.2461,Pass,0.006277,51.1419,51.4237,Pass,0.00551
comb_XOR2X1_A_Z_fall_1_1,117.5189,117.4577,Pass,-0.000521,74.527,74.6987,Pass,0.002304,62.7208,62.7688,Pass,0.000765
comb_BUFX4_A_Z_rise_5_6,45.6604,45.3065,Pass,-0.007751,91.5172,91.3697,Pass,-0.001612,80.2191,80.1484,Pass,-0.000881
comb_AND3X2_A_Z_fall_1_1,117.6951,117.9538,Pass,0.002198,98.0303,97.902,Pass,-0.001309,58.9971,58.9938,Pass,-5.6e-05
comb_INVX1_A_Z_rise_0_4,118.9661,119.315,Pass,0.002933,42.3141,42.5829,Pass,0.006352,96.6894,96.5013,Pass,-0.001945
comb_NAND2X1_A_Z_fall_2_3,107.9748,107.8408,Pass,-0.001241,42.9833,42.7752,Pass,-0.004841,83.5089,83.7339,Pass,0.002694
comb_NOR2X1_A_Z_rise_3_4,69.7722,69.5473,Pass,-0.003223,76.8888,76.9169,Pass,0.000365,95.9254,95.7594,Pass,-0.001731
comb_AOI22X1_A_Z_fall_3_1,47.0055,47.1665,Pass,0.003425,92.5195,92.4321,Pass,-0.000945,111.7657,112.0276,Pass,0.002343
comb_OAI21X2_A_Z_rise_3_6,70.9906,71.2781,Pass,0.00405,98.999,99.1241,Pass,0.001264,116.99,116.784,Pass,-0.001761
comb_DFFX1_A_Z_fall_1_5,44.3543,44.0409,Pass,-0.007066,62.1358,61.9276,Pass,-0.003351,86.9027,86.8451,Pass,-0.000663
comb_MUX2X1_A_Z_rise_3_0,91.7917,91.9404,Pass,0.00162,71.8949,71.6208,Pass,-0.003813,107.2776,107.3519,Pass,0.000693
comb_XOR2X1_A_Z_fall_5_1,85.0693,85.3566,Pass,0.003377,97.1554,97.1872,Pass,0.000327,42.5615,42.3547,Pass,-0.004859
comb_BUFX4_A_Z_rise_0_0,75.2577,75.4044,Pass,0.001949,63.3229,63.7132,Pass,0.006164,59.456,59.5089,Pass,0.00089
comb_AND3X2_A_Z_fall_6_3,99.6826,99.6337,Pass,-0.000491,47.2527,47.4649,Pass,0.004491,116.785,116.8728,Pass,0.000752
comb_INVX1_A_Z_rise_1_4,84.6772,84.9491,Pass,0.003211,65.8177,66.1886,Pass,0.005635,86.781,86.8962,Pass,0.001327
comb_NAND2X1_A_Z_fall_4_1,108.6938,108.6515,Pass,-0.000389,90.2202,90.5311,Pass,0.003446,78.7733,78.497,Pass,-0.003508
comb_NOR2X1_A_Z_rise_3_2,114.1044,114.429,Pass,0.002845,89.0979,89.0585,Pass,-0.000442,42.8823,42.7269,Pass,-0.003624
comb_AOI22X1_A_Z_fall_1_0,44.8925,45.1904,Pass,0.006636,62.1501,62.163,Pass,0.000208,81.0125,80.9727,Pass,-0.000491
comb_OAI21X2_A_Z_rise_4_6,49.0542,49.209,Pass,0.003156,90.8234,90.6821,Pass,-0.001556,45.6464,45.8165,Pass,0.003726
comb_DFFX1_A_Z_fall_1_1,85.024,85.3668,Pass,0.004032,98.2217,97.8522,Pass,-0.003762,84.6669,85.0397,Pass,0.004403
comb_MUX2X1_A_Z_rise_1_2,54.4199,54.5433,Pass,0.002268,79.0365,78.7513,Pass,-0.003608,54.1789,54.175,Pass,-7.2e-05
comb_XOR2X1_A_Z_fall_3_6,78.1047,77.9653,Pass,-0.001785,55.9414,55.5856,Pass,-0.00636,104.0432,103.7384,Pass,-0.00293
comb_BUFX4_A_Z_rise_1_2,116.1014,115.8054,Pass,-0.002549,80.1985,79.8103,Pass,-0.00484,113.6384,113.3541,Pass,-0.002502
comb_AND3X2_A_Z_fall_3_4,90.362,90.6419,Pass,0.003098,62.7731,62.878,Pass,0.001671,60.256,60.0596,Pass,-0.003259
comb_INVX1_A_Z_rise_5_1,111.0801,111.3142,Pass,0.002107,84.7313,84.5432,Pass,-0.00222,87.205,87.1056,Pass,-0.00114
comb_NAND2X1_A_Z_fall_6_4,66.4295,66.4684,Pass,0.000586,92.8647,92.9386,Pass,0.000796,76.2077,76.4498,Pass,0.003177
comb_NOR2X1_A_Z_rise_2_5,43.0505,43.0876,Pass,0.000862,95.7545,95.7352,Pass,-0.000202,85.8413,86.2355,Pass,0.004592
comb_AOI22X1_A_Z_fall_5_1,70.8078,71.1204,Pass,0.004415,110.208,110.1982,Pass,-8.9e-05,102.5718,102.8045,Pass,0.002269
comb_OAI21X2_A_Z_rise_2_0,44.368,44.3495,Pass,-0.000417,63.7884,63.6411,Pass,-0.002309,63.2381,63.2155,Pass,-0.000357
comb_DFFX1_A_Z_fall_6_5,44.4727,44.2807,Pass,-0.004317,100.4235,100.241,Pass,-0.001817,48.3879,48.608,Pass,0.004549
comb_MUX2X1_A_Z_rise_0_6,87.7951,87.733,Pass,-0.000707,94.2272,94.155,Pass,-0.000766,67.5316,67.8071,Pass,0.00408
comb_XOR2X1_A_Z_fall_4_6,48.3096,48.4219,Pass,0.002325,97.7837,97.7069,Pass,-0.000785,41.4914,41.2742,Pass,-0.005235
comb_BUFX4_A_Z_rise_3_0,113.4509,113.6868,Pass,0.002079,54.1265,54.4486,Pass,0.005951,67.7355,67.4148,Pass,-0.004735
comb_AND3X2_A_Z_fall_2_6,47.3935,47.3478,Pass,-0.000964,94.6464,94.819,Pass,0.001824,104.358,104.4408,Pass,0.000793
comb_INVX1_A_Z_rise_6_5,116.2553,116.0495,Pass,-0.00177,117.8562,117.6409,Pass,-0.001827,98.3352,98.2332,Pass,-0.001037
comb_NAND2X1_A_Z_fall_5_2,73.1552,72.9532,Pass,-0.002761,44.691,44.3697,Pass,-0.007189,71.4766,71.1934,Pass,-0.003962
comb_NOR2X1_A_Z_rise_5_0,98.0896,98.4337,Pass,0.003508,67.4587,67.5579,Pass,0.001471,109.6073,109.6626,Pass,0.000505
comb_AOI22X1_A_Z_fall_5_2,42.6772,42.5065,Pass,-0.004,69.9068,69.8005,Pass,-0.001521,110.4224,110.7028,Pass,0.002539
comb_OAI21X2_A_Z_rise_0_5,97.5484,97.3152,Pass,-0.002391,49.7652,49.3816,Pass,-0.007708,101.7877,101.5868,Pass,-0.001974
comb_DFFX1_A_Z_fall_6_1,109.8438,109.7485,Pass,-0.000868,92.2121,92.5862,Pass,0.004057,105.9332,105.975,Pass,0.000395
comb_MUX2X1_A_Z_rise_4_6,103.3503,103.4227,Pass,0.000701,101.3374,101.7271,Pass,0.003846,98.3148,98.6489,Pass,0.003398
comb_XOR2X1_A_Z_fall_4_6,52.555,52.6784,Pass,0.002348,105.5077,105.4505,Pass,-0.000542,100.1612,100.4482,Pass,0.002865
comb_BUFX4_A_Z_rise_6_6,55.2731,54.9687,Pass,-0.005507,57.2193,57.1595,Pass,-0.001045,61.8397,62.2371,Pass,0.006426
comb_AND3X2_A_Z_fall_5_0,112.1556,112.5371,Pass,0.003402,100.3005,99.9295,Pass,-0.003699,91.7991,91.9587,Pass,0.001739
comb_INVX1_A_Z_rise_1_5,95.9207,96.2909,Pass,0.003859,79.2349,79.0215,Pass,-0.002693,105.9706,105.6023,Pass,-0.003475
comb_NAND2X1_A_Z_fall_3_6,43.7532,43.5854,Pass,-0.003835,48.2885,48.4972,Pass,0.004322,91.3235,90.9489,Pass,-0.004102
comb_NOR2X1_A_Z_rise_4_3,118.7155,118.4805,Pass,-0.00198,119.3304,119.1583,Pass,-0.001442,86.7659,86.4073,Pass,-0.004133
comb_AOI22X1_A_Z_fall_6_6,90.2142,89.976,Pass,-0.00264,87.0822,87.0195,Pass,-0.00072,55.1084,55.4888,Pass,0.006903
comb_OAI21X2_A_Z_rise_1_2,75.9241,75.5795,Pass,-0.004539,48.5355,48.277,Pass,-0.005326,85.2513,85.2387,Pass,-0.000148
comb_DFFX1_A_Z_fall_5_3,84.8148,85.0703,Pass,0.003012,66.001,65.6578,Pass,-0.0052,98.7363,98.3542,Pass,-0.00387
