Arc,Nominal_MC_value,Nominal_Lib_value,Nominal_Final_Status,Nominal_rel_err,Nominal_Base_Pass,Nominal_Waiver1_CI_Enlarged,Early_Sigma_MC_value,Early_Sigma_Lib_value,Early_Sigma_Final_Status,Early_Sigma_rel_err,Early_Sigma_Base_Pass,Early_Sigma_Waiver1_CI_Enlarged,Late_Sigma_MC_value,Late_Sigma_Lib_value,Late_Sigma_Final_Status,Late_Sigma_rel_err,Late_Sigma_Base_Pass,Late_Sigma_Waiver1_CI_Enlarged
comb_INVX1_A_Z_rise_1_2,61.7686,62.0833,Pass,0.005095,Pass,Pass,64.7725,64.4592,Pass,-0.004837,Pass,Pass,48.571,39.685,Fail,-0.182949,Fail,Fail
comb_NAND2X1_A_Z_fall_3_2,61.2471,61.4366,Pass,0.003094,Pass,Pass,67.5509,67.6218,Pass,0.00105,Pass,Pass,40.464,43.7306,Fail,0.080729,Fail,Pass
comb_NOR2X1_A_Z_rise_4_4,45.9663,46.114,Pass,0.003213,Pass,Pass,110.3413,110.5656,Pass,0.002033,Pass,Pass,113.0905,113.3749,Pass,0.002515,Pass,Pass
comb_AOI22X1_A_Z_fall_0_4,100.8421,100.6483,Pass,-0.001922,Pass,Pass,61.5998,61.4668,Pass,-0.002159,Pass,Pass,119.4513,119.1591,Pass,-0.002446,Pass,Pass
comb_OAI21X2_A_Z_rise_2_3,57.2404,57.5519,Pass,0.005442,Pass,Pass,68.8146,68.6645,Pass,-0.002181,Pass,Pass,82.5868,82.2466,Pass,-0.004119,Pass,Pass
comb_DFFX1_A_Z_fall_2_6,110.0544,110.1189,Pass,0.000586,Pass,Pass,88.7479,89.0985,Pass,0.003951,Pass,Pass,71.3207,71.2217,Pass,-0.001388,Pass,Pass
comb_MUX2X1_A_Z_rise_0_1,103.5364,103.2854,Pass,-0.002424,Pass,Pass,107.466,107.6168,Pass,0.001403,Pass,Pass,71.7472,71.355,Pass,-0.005466,Pass,Pass
comb_XOR2X1_A_Z_fall_1_1,93.313,93.0884,Pass,-0.002407,Pass,Pass,115.8678,116.2334,Pass,0.003155,Pass,Pass,105.8093,105.8716,Pass,0.000589,Pass,Pass
comb_BUFX4_A_Z_rise_5_6,70.0605,70.132,Pass,0.001021,Pass,Pass,117.0297,117.3869,Pass,0.003052,Pass,Pass,86.8044,86.8727,Pass,0.000787,Pass,Pass
comb_AND3X2_A_Z_fall_1_1,68.8881,68.9231,Pass,0.000508,Pass,Pass,74.2093,74.2141,Pass,6.5e-05,Pass,Pass,89.5701,89.2052,Pass,-0.004074,Pass,Pass
comb_INVX1_A_Z_rise_0_4,72.8982,73.1729,Pass,0.003768,Pass,Pass,111.1187,111.2881,Pass,0.001524,Pass,Pass,112.8439,112.8721,Pass,0.00025,Pass,Pass
comb_NAND2X1_A_Z_fall_2_3,98.2393,98.2807,Pass,0.000421,Pass,Pass,115.9482,116.2539,Pass,0.002637,Pass,Pass,112.1863,112.1914,Pass,4.5e-05,Pass,Pass
comb_NOR2X1_A_Z_rise_3_4,70.6348,70.2535,Pass,-0.005398,Pass,Pass,59.7048,59.7573,Pass,0.000879,Pass,Pass,75.0088,75.178,Pass,0.002256,Pass,Pass
comb_AOI22X1_A_Z_fall_3_1,104.4417,104.781,Pass,0.003249,Pass,Pass,104.8421,104.5118,Pass,-0.00315,Pass,Pass,55.8636,55.8933,Pass,0.000532,Pass,Pass
comb_OAI21X2_A_Z_rise_3_6,58.0072,58.0409,Pass,0.000581,Pass,Pass,77.2456,77.2315,Pass,-0.000183,Pass,Pass,70.9301,70.7988,Pass,-0.001851,Pass,Pass
comb_DFFX1_A_Z_fall_1_5,99.9012,99.9231,Pass,0.000219,Pass,Pass,83.0532,83.0351,Pass,-0.000218,Pass,Pass,42.1349,42.4196,Pass,0.006757,Pass,Pass
comb_MUX2X1_A_Z_rise_3_0,109.0639,109.1794,Pass,0.001059,Pass,Pass,68.0458,68.16,Pass,0.001678,Pass,Pass,70.0185,70.3042,Pass,0.00408,Pass,Pass
comb_XOR2X1_A_Z_fall_5_1,46.6677,46.5733,Pass,-0.002023,Pass,Pass,111.8411,111.9836,Pass,0.001274,Pass,Pass,100.7939,100.6013,Pass,-0.001911,Pass,Pass
comb_BUFX4_A_Z_rise_0_0,47.6865,47.431,Pass,-0.005358,Pass,Pass,44.7834,45.1394,Pass,0.007949,Pass,Pass,92.3284,92.5832,Pass,0.00276,Pass,Pass
comb_AND3X2_A_Z_fall_6_3,117.1844,117.0731,Pass,-0.00095,Pass,Pass,80.1216,80.1197,Pass,-2.4e-05,Pass,Pass,62.2855,62.6087,Pass,0.005189,Pass,Pass
comb_INVX1_A_Z_rise_1_4,57.3465,57.7275,Pass,0.006644,Pass,Pass,48.2241,48.2024,Pass,-0.00045,Pass,Pass,56.2983,56.4102,Pass,0.001988,Pass,Pass
comb_NAND2X1_A_Z_fall_4_1,95.0,94.8407,Pass,-0.001677,Pass,Pass,55.383,55.7018,Pass,0.005756,Pass,Pass,78.5625,78.5852,Pass,0.000289,Pass,Pass
comb_NOR2X1_A_Z_rise_3_2,106.3596,106.6776,Pass,0.00299,Pass,Pass,89.7011,89.3358,Pass,-0.004072,Pass,Pass,65.09,65.1688,Pass,0.001211,Pass,Pass
comb_AOI22X1_A_Z_fall_1_0,92.7906,92.6642,Pass,-0.001362,Pass,Pass,75.3872,75.2916,Pass,-0.001268,Pass,Pass,101.3852,101.6083,Pass,0.002201,Pass,Pass
comb_OAI21X2_A_Z_rise_4_6,118.8145,118.631,Pass,-0.001544,Pass,Pass,42.5585,42.7251,Pass,0.003915,Pass,Pass,83.9974,84.0105,Pass,0.000156,Pass,Pass
comb_DFFX1_A_Z_fall_1_1,117.1353,116.8293,Pass,-0.002612,Pass,Pass,91.9067,91.7165,Pass,-0.002069,Pass,Pass,40.3743,40.4237,Pass,0.001224,Pass,Pass
comb_MUX2X1_A_Z_rise_1_2,119.7175,119.8505,Pass,0.001111,Pass,Pass,109.242,109.0713,Pass,-0.001563,Pass,Pass,115.6765,115.9916,Pass,0.002724,Pass,Pass
comb_XOR2X1_A_Z_fall_3_6,41.2495,41.5387,Pass,0.007011,Pass,Pass,107.3565,107.0817,Pass,-0.00256,Pass,Pass,107.811,107.465,Pass,-0.003209,Pass,Pass
comb_BUFX4_A_Z_rise_1_2,64.5093,64.8657,Pass,0.005525,Pass,Pass,101.8469,102.1054,Pass,0.002538,Pass,Pass,55.1309,55.3912,Pass,0.004721,Pass,Pass
comb_AND3X2_A_Z_fall_3_4,79.9658,79.9943,Pass,0.000356,Pass,Pass,66.9324,67.2854,Pass,0.005274,Pass,Pass,52.7707,53.0777,Pass,0.005818,Pass,Pass
comb_INVX1_A_Z_rise_5_1,110.3976,110.4901,Pass,0.000838,Pass,Pass,118.2749,117.8842,Pass,-0.003303,Pass,Pass,64.7983,64.43,Pass,-0.005684,Pass,Pass
comb_NAND2X1_A_Z_fall_6_4,62.8886,63.1996,Pass,0.004945,Pass,Pass,44.972,44.9587,Pass,-0.000296,Pass,Pass,112.9416,112.7137,Pass,-0.002018,Pass,Pass
comb_NOR2X1_A_Z_rise_2_5,78.9273,79.1402,Pass,0.002697,Pass,Pass,51.8697,52.0335,Pass,0.003158,Pass,Pass,80.7762,80.7362,Pass,-0.000495,Pass,Pass
comb_AOI22X1_A_Z_fall_5_1,72.0798,71.9551,Pass,-0.00173,Pass,Pass,89.5183,89.6061,Pass,0.000981,Pass,Pass,69.1957,69.177,Pass,-0.00027,Pass,Pass
comb_OAI21X2_A_Z_rise_2_0,69.3973,69.5935,Pass,0.002827,Pass,Pass,61.4782,61.5559,Pass,0.001264,Pass,Pass,44.6374,44.6401,Pass,6e-05,Pass,Pass
comb_DFFX1_A_Z_fall_6_5,112.008,111.8112,Pass,-0.001757,Pass,Pass,118.2586,118.2493,Pass,-7.9e-05,Pass,Pass,106.6042,106.2686,Pass,-0.003148,Pass,Pass
comb_MUX2X1_A_Z_rise_0_6,51.2236,51.3285,Pass,0.002048,Pass,Pass,96.7465,96.5872,Pass,-0.001647,Pass,Pass,98.2321,97.9723,Pass,-0.002645,Pass,Pass
comb_XOR2X1_A_Z_fall_4_6,105.8644,106.0936,Pass,0.002165,Pass,Pass,64.647,64.2642,Pass,-0.005921,Pass,Pass,70.8238,70.8021,Pass,-0.000306,Pass,Pass
comb_BUFX4_A_Z_rise_3_0,88.491,88.2656,Pass,-0.002547,Pass,Pass,62.1946,62.0651,Pass,-0.002082,Pass,Pass,78.5538,78.5077,Pass,-0.000587,Pass,Pass
comb_AND3X2_A_Z_fall_2_6,105.6175,105.599,Pass,-0.000175,Pass,Pass,90.3761,90.0522,Pass,-0.003584,Pass,Pass,102.8888,102.846,Pass,-0.000416,Pass,Pass
comb_INVX1_A_Z_rise_6_5,89.7721,89.9152,Pass,0.001594,Pass,Pass,59.6739,59.6142,Pass,-0.001,Pass,Pass,57.272,57.1221,Pass,-0.002617,Pass,Pass
comb_NAND2X1_A_Z_fall_5_2,52.3499,51.9835,Pass,-0.006999,Pass,Pass,71.2935,71.0892,Pass,-0.002866,Pass,Pass,86.6847,86.9042,Pass,0.002532,Pass,Pass
comb_NOR2X1_A_Z_rise_5_0,83.8705,83.6435,Pass,-0.002707,Pass,Pass,63.107,63.0046,Pass,-0.001623,Pass,Pass,97.2064,97.5109,Pass,0.003133,Pass,Pass
comb_AOI22X1_A_Z_fall_5_2,105.4193,105.5634,Pass,0.001367,Pass,Pass,79.0239,78.6386,Pass,-0.004876,Pass,Pass,83.5065,83.8532,Pass,0.004152,Pass,Pass
comb_OAI21X2_A_Z_rise_0_5,87.3534,87.039,Pass,-0.003599,Pass,Pass,113.1598,112.9117,Pass,-0.002192,Pass,Pass,95.8739,96.0466,Pass,0.001801,Pass,Pass
comb_DFFX1_A_Z_fall_6_1,112.8006,112.5926,Pass,-0.001844,Pass,Pass,90.3474,90.2766,Pass,-0.000784,Pass,Pass,60.1815,60.0844,Pass,-0.001613,Pass,Pass
comb_MUX2X1_A_Z_rise_4_6,91.5308,91.7495,Pass,0.002389,Pass,Pass,72.7266,72.8276,Pass,0.001389,Pass,Pass,53.9617,54.0672,Pass,0.001955,Pass,Pass
comb_XOR2X1_A_Z_fall_4_6,75.8306,75.4765,Pass,-0.00467,Pass,Pass,60.7205,60.3781,Pass,-0.005639,Pass,Pass,68.9481,69.3119,Pass,0.005276,Pass,Pass
comb_BUFX4_A_Z_rise_6_6,40.1937,40.4923,Pass,0.007429,Pass,Pass,42.2684,42.2239,Pass,-0.001053,Pass,Pass,65.9953,66.0287,Pass,0.000506,Pass,Pass
comb_AND3X2_A_Z_fall_5_0,68.0887,67.8358,Pass,-0.003714,Pass,Pass,84.8316,84.6232,Pass,-0.002457,Pass,Pass,109.4415,109.3097,Pass,-0.001204,Pass,Pass
comb_INVX1_A_Z_rise_1_5,57.0402,57.4301,Pass,0.006836,Pass,Pass,58.4435,58.2331,Pass,-0.0036,Pass,Pass,114.6041,114.7913,Pass,0.001633,Pass,Pass
comb_NAND2X1_A_Z_fall_3_6,58.2665,58.5065,Pass,0.004119,Pass,Pass,105.0467,105.3071,Pass,0.002479,Pass,Pass,66.4528,66.6934,Pass,0.003621,Pass,Pass
