Arc,Late_Sigma_MC_value,Late_Sigma_Lib_value,Late_Sigma_Final_Status,Late_Sigma_rel_err,Late_Sigma_Base_Pass,Late_Sigma_Waiver1_CI_Enlarged
comb_INVX1_A_Z_rise_0_5,116.7958,100.5798,Fail,-0.138841,Fail,Fail
comb_NAND2X1_A_Z_fall_1_5,58.0207,58.0811,Pass,0.001041,Pass,Pass
comb_NOR2X1_A_Z_rise_3_5,91.276,91.155,Pass,-0.001326,Pass,Pass
comb_AOI22X1_A_Z_fall_6_2,90.2898,90.0985,Pass,-0.002119,Pass,Pass
comb_OAI21X2_A_Z_rise_2_6,65.6582,65.3759,Pass,-0.0043,Pass,Pass
comb_DFFX1_A_Z_fall_0_1,69.8587,70.1089,Pass,0.003582,Pass,Pass
comb_MUX2X1_A_Z_rise_5_4,109.6053,109.8416,Pass,0.002156,Pass,Pass
comb_XOR2X1_A_Z_fall_6_2,69.0312,69.3992,Pass,0.005331,Pass,Pass
comb_BUFX4_A_Z_rise_1_5,91.779,91.5785,Pass,-0.002185,Pass,Pass
comb_AND3X2_A_Z_fall_6_5,93.8757,93.8243,Pass,-0.000548,Pass,Pass
comb_INVX1_A_Z_rise_0_0,108.8924,108.9464,Pass,0.000496,Pass,Pass
comb_NAND2X1_A_Z_fall_3_6,57.6799,57.332,Pass,-0.006032,Pass,Pass
comb_NOR2X1_A_Z_rise_2_5,95.0746,95.0709,Pass,-3.9e-05,Pass,Pass
comb_AOI22X1_A_Z_fall_5_1,113.9143,113.5517,Pass,-0.003183,Pass,Pass
comb_OAI21X2_A_Z_rise_6_6,106.1828,106.2961,Pass,0.001067,Pass,Pass
comb_DFFX1_A_Z_fall_0_4,79.9434,79.549,Pass,-0.004933,Pass,Pass
comb_MUX2X1_A_Z_rise_4_5,98.4636,98.0637,Pass,-0.004061,Pass,Pass
comb_XOR2X1_A_Z_fall_1_5,85.445,85.5252,Pass,0.000939,Pass,Pass
comb_BUFX4_A_Z_rise_5_0,43.4475,43.7195,Pass,0.00626,Pass,Pass
comb_AND3X2_A_Z_fall_3_6,49.2315,49.0806,Pass,-0.003065,Pass,Pass
comb_INVX1_A_Z_rise_6_6,50.6811,50.9101,Pass,0.004518,Pass,Pass
comb_NAND2X1_A_Z_fall_2_3,41.5777,41.8751,Pass,0.007153,Pass,Pass
comb_NOR2X1_A_Z_rise_3_1,40.953,40.9704,Pass,0.000425,Pass,Pass
comb_AOI22X1_A_Z_fall_6_1,82.5801,82.85,Pass,0.003268,Pass,Pass
comb_OAI21X2_A_Z_rise_6_1,73.3177,73.4754,Pass,0.002151,Pass,Pass
comb_DFFX1_A_Z_fall_5_0,118.4874,118.3597,Pass,-0.001078,Pass,Pass
comb_MUX2X1_A_Z_rise_1_1,99.2001,99.1122,Pass,-0.000886,Pass,Pass
comb_XOR2X1_A_Z_fall_4_2,95.4721,95.2583,Pass,-0.002239,Pass,Pass
comb_BUFX4_A_Z_rise_2_2,62.1324,61.8619,Pass,-0.004354,Pass,Pass
comb_AND3X2_A_Z_fall_6_0,88.5407,88.179,Pass,-0.004085,Pass,Pass
comb_INVX1_A_Z_rise_0_3,95.9991,95.7366,Pass,-0.002734,Pass,Pass
comb_NAND2X1_A_Z_fall_6_0,47.4526,47.2109,Pass,-0.005094,Pass,Pass
comb_NOR2X1_A_Z_rise_1_4,93.1027,93.0859,Pass,-0.00018,Pass,Pass
comb_AOI22X1_A_Z_fall_5_6,108.5079,108.2785,Pass,-0.002114,Pass,Pass
comb_OAI21X2_A_Z_rise_5_6,75.8082,75.9425,Pass,0.001772,Pass,Pass
comb_DFFX1_A_Z_fall_0_1,46.7189,46.4097,Pass,-0.006618,Pass,Pass
comb_MUX2X1_A_Z_rise_5_5,69.543,69.8171,Pass,0.003941,Pass,Pass
comb_XOR2X1_A_Z_fall_1_5,95.733,95.8948,Pass,0.00169,Pass,Pass
comb_BUFX4_A_Z_rise_5_2,94.6561,94.676,Pass,0.00021,Pass,Pass
comb_AND3X2_A_Z_fall_1_5,49.5411,49.4248,Pass,-0.002348,Pass,Pass
comb_INVX1_A_Z_rise_5_3,105.6205,105.3647,Pass,-0.002422,Pass,Pass
comb_NAND2X1_A_Z_fall_4_4,90.5554,90.4921,Pass,-0.000699,Pass,Pass
comb_NOR2X1_A_Z_rise_5_0,40.2476,40.543,Pass,0.00734,Pass,Pass
comb_AOI22X1_A_Z_fall_0_2,70.0996,69.9035,Pass,-0.002797,Pass,Pass
comb_OAI21X2_A_Z_rise_4_2,98.3777,98.4678,Pass,0.000916,Pass,Pass
comb_DFFX1_A_Z_fall_6_1,41.2176,41.4576,Pass,0.005823,Pass,Pass
comb_MUX2X1_A_Z_rise_0_4,83.7045,84.0831,Pass,0.004523,Pass,Pass
comb_XOR2X1_A_Z_fall_0_4,59.9891,59.8595,Pass,-0.00216,Pass,Pass
comb_BUFX4_A_Z_rise_6_1,40.8946,40.9909,Pass,0.002355,Pass,Pass
comb_AND3X2_A_Z_fall_3_3,74.5174,74.5619,Pass,0.000597,Pass,Pass
