Arc,Meanshift_MC_value,Meanshift_Lib_value,Meanshift_Final_Status,Meanshift_rel_err,Std_MC_value,Std_Lib_value,Std_Final_Status,Std_rel_err,Skew_MC_value,Skew_Lib_value,Skew_Final_Status,Skew_rel_err
comb_INVX1_A_Z_rise_4_3,64.4565,64.7555,Pass,0.004639,108.9372,108.8004,Pass,-0.001256,41.0996,41.0126,Pass,-0.002117
comb_NAND2X1_A_Z_fall_6_1,92.473,92.2922,Pass,-0.001955,72.224,72.0575,Pass,-0.002305,112.6847,112.5342,Pass,-0.001336
comb_NOR2X1_A_Z_rise_4_6,59.5067,59.8692,Pass,0.006092,51.28,51.1242,Pass,-0.003038,66.9376,67.013,Pass,0.001126
comb_AOI22X1_A_Z_fall_6_5,109.4791,109.5093,Pass,0.000276,78.5301,78.7421,Pass,0.0027,95.9844,96.0178,Pass,0.000348
comb_OAI21X2_A_Z_rise_3_4,84.5223,84.1646,Pass,-0.004232,72.1048,72.3858,Pass,0.003897,49.5935,49.9413,Pass,0.007013
comb_DFFX1_A_Z_fall_5_5,72.7187,72.8757,Pass,0.002159,87.338,87.1202,Pass,-0.002494,44.78,45.0065,Pass,0.005058
comb_MUX2X1_A_Z_rise_3_1,76.4635,76.8023,Pass,0.004431,113.7814,113.8621,Pass,0.000709,85.0498,84.9888,Pass,-0.000717
comb_XOR2X1_A_Z_fall_5_5,79.0474,78.8627,Pass,-0.002337,94.2926,94.3635,Pass,0.000752,65.2121,64.8677,Pass,-0.005281
comb_BUFX4_A_Z_rise_4_2,89.3187,89.4084,Pass,0.001004,89.1009,89.0662,Pass,-0.000389,118.2723,117.9005,Pass,-0.003144
comb_AND3X2_A_Z_fall_6_3,112.6512,112.4015,Pass,-0.002217,66.5095,66.3365,Pass,-0.002601,76.4348,76.5517,Pass,0.001529
comb_INVX1_A_Z_rise_0_5,59.8911,59.5643,Pass,-0.005457,73.5587,73.3885,Pass,-0.002314,50.7721,50.6205,Pass,-0.002986
comb_NAND2X1_A_Z_fall_2_2,115.4638,115.2771,Pass,-0.001617,67.4821,67.5127,Pass,0.000453,70.1237,70.4329,Pass,0.004409
comb_NOR2X1_A_Z_rise_0_1,100.9523,100.7698,Pass,-0.001808,48.6038,48.6822,Pass,0.001613,61.9465,61.8501,Pass,-0.001556
comb_AOI22X1_A_Z_fall_4_4,104.0886,103.7966,Pass,-0.002805,63.3373,63.0452,Pass,-0.004612,92.0,91.6462,Pass,-0.003846
comb_OAI21X2_A_Z_rise_0_4,111.1381,111.4982,Pass,0.00324,112.2277,111.8389,Pass,-0.003464,113.9808,113.7222,Pass,-0.002269
comb_DFFX1_A_Z_fall_5_6,89.0374,88.9892,Pass,-0.000541,43.7455,43.5499,Pass,-0.004471,50.6062,50.2877,Pass,-0.006294
comb_MUX2X1_A_Z_rise_6_5,60.5067,60.666,Pass,0.002633,75.2794,75.0162,Pass,-0.003496,96.9031,96.7428,Pass,-0.001654
comb_XOR2X1_A_Z_fall_6_0,60.1058,60.4792,Pass,0.006212,110.114,110.1888,Pass,0.000679,110.3842,110.2178,Pass,-0.001507
comb_BUFX4_A_Z_rise_3_1,114.1253,114.0124,Pass,-0.000989,54.3483,54.7304,Pass,0.007031,52.4139,52.4779,Pass,0.001221
