Arc,Nominal_MC_value,Nominal_Lib_value,Nominal_Final_Status,Nominal_rel_err,Nominal_Base_Pass,Nominal_Waiver1_CI_Enlarged,Early_Sigma_MC_value,Early_Sigma_Lib_value,Early_Sigma_Final_Status,Early_Sigma_rel_err,Early_Sigma_Base_Pass,Early_Sigma_Waiver1_CI_Enlarged,Late_Sigma_MC_value,Late_Sigma_Lib_value,Late_Sigma_Final_Status,Late_Sigma_rel_err,Late_Sigma_Base_Pass,Late_Sigma_Waiver1_CI_Enlarged
comb_INVX1_A_Z_rise_4_3,101.7916,101.6575,Pass,-0.001317,Pass,Pass,55.8775,55.738,Pass,-0.002497,Pass,Pass,45.0615,32.1508,Fail,-0.286513,Fail,Fail
comb_NAND2X1_A_Z_fall_6_1,104.0735,103.8142,Pass,-0.002492,Pass,Pass,77.7139,77.5395,Pass,-0.002244,Pass,Pass,119.6706,123.4218,Fail,0.031346,Fail,Pass
comb_NOR2X1_A_Z_rise_4_6,118.6041,118.6841,Pass,0.000675,Pass,Pass,57.2915,57.0079,Pass,-0.00495,Pass,Pass,87.404,85.3082,Fail,-0.023978,Fail,Pass
comb_AOI22X1_A_Z_fall_6_5,73.5061,73.5865,Pass,0.001094,Pass,Pass,67.186,67.0051,Pass,-0.002693,Pass,Pass,113.2355,113.3027,Pass,0.000593,Pass,Pass
comb_OAI21X2_A_Z_rise_3_4,113.9645,113.9352,Pass,-0.000257,Pass,Pass,95.0049,95.1271,Pass,0.001286,Pass,Pass,67.9528,67.9943,Pass,0.000611,Pass,Pass
comb_DFFX1_A_Z_fall_5_5,110.6441,110.775,Pass,0.001183,Pass,Pass,47.2953,47.172,Pass,-0.002607,Pass,Pass,50.372,50.3862,Pass,0.000282,Pass,Pass
comb_MUX2X1_A_Z_rise_3_1,74.1198,74.3303,Pass,0.00284,Pass,Pass,106.9971,106.9478,Pass,-0.000461,Pass,Pass,93.2498,92.8802,Pass,-0.003964,Pass,Pass
comb_XOR2X1_A_Z_fall_5_5,108.1727,108.3584,Pass,0.001717,Pass,Pass,95.1514,95.017,Pass,-0.001412,Pass,Pass,92.1703,91.8848,Pass,-0.003098,Pass,Pass
comb_BUFX4_A_Z_rise_4_2,108.8397,108.6675,Pass,-0.001582,Pass,Pass,102.8475,103.0861,Pass,0.00232,Pass,Pass,97.0208,97.1142,Pass,0.000963,Pass,Pass
comb_AND3X2_A_Z_fall_6_3,46.6964,46.7002,Pass,8.1e-05,Pass,Pass,57.139,56.8801,Pass,-0.004531,Pass,Pass,109.8552,110.0045,Pass,0.001359,Pass,Pass
comb_INVX1_A_Z_rise_0_5,55.8264,56.0944,Pass,0.004801,Pass,Pass,97.8164,97.7985,Pass,-0.000183,Pass,Pass,74.1741,74.4697,Pass,0.003985,Pass,Pass
comb_NAND2X1_A_Z_fall_2_2,72.7129,72.4101,Pass,-0.004164,Pass,Pass,40.7574,40.6861,Pass,-0.001749,Pass,Pass,111.7915,111.8183,Pass,0.00024,Pass,Pass
comb_NOR2X1_A_Z_rise_0_1,49.6416,49.3337,Pass,-0.006202,Pass,Pass,118.6561,118.6118,Pass,-0.000373,Pass,Pass,79.6982,79.3471,Pass,-0.004405,Pass,Pass
comb_AOI22X1_A_Z_fall_4_4,57.4547,57.7461,Pass,0.005072,Pass,Pass,60.799,61.0049,Pass,0.003387,Pass,Pass,81.7084,82.0585,Pass,0.004285,Pass,Pass
comb_OAI21X2_A_Z_rise_0_4,61.5516,61.7953,Pass,0.003959,Pass,Pass,47.9789,48.3185,Pass,0.007078,Pass,Pass,87.2517,87.5647,Pass,0.003587,Pass,Pass
comb_DFFX1_A_Z_fall_5_6,51.9293,52.1524,Pass,0.004296,Pass,Pass,112.4415,112.5122,Pass,0.000629,Pass,Pass,42.8876,43.0037,Pass,0.002707,Pass,Pass
